date,company,category,type,value,description
2025-01-02,Empresa A,Receita,revenue,15000,Venda de produto X
2025-01-05,Empresa A,Despesa,expense,-4000,Pagamento fornecedor
2025-01-10,Empresa B,Receita,revenue,8000,Serviço prestado
2025-02-02,Empresa A,Custo,cost,-1200,Materia prima
2025-02-15,Empresa B,Despesa,expense,-600,Marketing
2025-03-01,Empresa C,Receita,revenue,22000,Contrato anual
2025-03-05,Empresa C,Despesa,expense,-7000,Operação
2025-03-18,Empresa A,Receita,revenue,3000,Serviço extra
2025-04-01,Empresa B,Custo,cost,-500,Transporte
2025-04-10,Empresa A,Despesa,expense,-1200,Manutenção
